A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
23 	O      	8  	15 	0.0000  	1/2+          	14.62               	12        	97 MS 8                  	0.097                    	          	        	BN      	7.00        
24 	O      	8  	16 	0.0000  	0+            	18.50               	16        	72 MS 5                  	0.072                    	          	        	B-      	100.00      
24 	O      	8  	16 	0.0000  	0+            	18.50               	16        	72 MS 5                  	0.072                    	          	        	BN      	41.00       
25 	O      	8  	17 	0.0000  	(3/2+)        	27.33               	17        	6.3E-9 PS +11-6          	6.3E-21                  	          	        	N       	100.00      
26 	O      	8  	18 	0.0000  	0+            	34.66               	16        	4.5 PS +32-34            	4.5E-12                  	          	        	2N      	100.00      
26 	O      	8  	18 	0.0000  	0+            	34.66               	16        	4.5 PS +32-34            	4.5E-12                  	          	        	N?      	            
14 	F      	9  	5  	0.0000  	2-            	31.96               	4         	910 KEV 100              	5.00769E-22              	          	        	P       	            
15 	F      	9  	6  	0.0000  	1/2+          	16.567              	14        	660 KEV 2                	6.905E-22                	          	        	P       	100.00      
16 	F      	9  	7  	0.0000  	0-            	10.680              	8         	40 KEV 20                	1.139E-20                	          	        	P       	100.00      
17 	F      	9  	8  	0.0000  	5/2+          	1.95170             	25        	64.49 S 16               	64.49                    	          	        	EC      	100.00      
18 	F      	9  	9  	0.0000  	1+            	0.8731              	5         	109.77 M 5               	6586.2                   	          	        	EC      	100.00      
19 	F      	9  	10 	0.0000  	1/2+          	-1.4874442          	9         	STABLE                   	infinity                 	100%      	        	        	            
20 	F      	9  	11 	0.0000  	2+            	-0.01746            	3         	11.07 S 6                	11.07                    	          	        	B-      	100.00      
21 	F      	9  	12 	0.0000  	5/2+          	-0.0476             	18        	4.158 S 20               	4.158                    	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793               	12        	4230 MS 40               	4.23                     	          	        	B-      	100.00      
22 	F      	9  	13 	0.0000  	(4+)          	2.793               	12        	4230 MS 40               	4.23                     	          	        	BN      	&lt; 11.0      
23 	F      	9  	14 	0.0000  	5/2+          	3.29                	3         	2230 MS 14               	2.23                     	          	        	B-      	100.00      
23 	F      	9  	14 	0.0000  	5/2+          	3.29                	3         	2230 MS 14               	2.23                     	          	        	BN      	&lt; 14.00     
24 	F      	9  	15 	0.0000  	(3+)          	7.54                	10        	382 MS 16                	0.382                    	          	        	BN      	&lt; 5.90      
24 	F      	9  	15 	0.0000  	(3+)          	7.54                	10        	382 MS 16                	0.382                    	          	        	B-      	100.00      
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	10        	80 MS 9                  	0.08                     	          	        	B-      	100.00      
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	10        	80 MS 9                  	0.08                     	          	        	BN      	19.50       
25 	F      	9  	16 	0.0000  	5/2+          	11.33               	10        	80 MS 9                  	0.08                     	          	        	B2N     	?           
26 	F      	9  	17 	0.0000  	1+            	18.65               	11        	8.2 MS 9                 	0.0082                   	          	        	B-      	100.00      
26 	F      	9  	17 	0.0000  	1+            	18.65               	11        	8.2 MS 9                 	0.0082                   	          	        	BN      	13.50       
26 	F      	9  	17 	0.0000  	1+            	18.65               	11        	8.2 MS 9                 	0.0082                   	          	        	B2N     	?           
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	B2N     	?           
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	B3N     	?           
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	B-      	100.00      
27 	F      	9  	18 	0.0000  	(5/2+)        	25.5                	4         	5.0 MS 2                 	0.005                    	          	        	BN      	90.00       
28 	F      	9  	19 	0.0000  	              	33.7                	4         	0.046 AS AP              	4.6E-20                  	          	        	N       	            
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	B2N     	?           
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	B3N     	?           
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	B-      	100.00      
29 	F      	9  	20 	0.0000  	(5/2+)        	40.2                	5         	2.67 MS 21               	0.00267                  	          	        	BN      	&gt; 20.00     
30 	F      	9  	21 	0.0000  	              	48.1                	6         	                         	                         	          	        	N       	            
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	BN      	?           
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	B2N     	?           
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	B3N     	?           
31 	F      	9  	22 	0.0000  	              	56.1                	5         	                         	                         	          	        	B-      	100.00      
16 	Ne     	10 	6  	0.0000  	0+            	23.987              	20        	9E-21 S                  	9E-21                    	          	        	2P      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004             	4         	109.2 MS 6               	0.109                    	          	        	EP      	100.00      
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004             	4         	109.2 MS 6               	0.109                    	          	        	EA      	            
17 	Ne     	10 	7  	0.0000  	1/2-          	16.5004             	4         	109.2 MS 6               	0.109                    	          	        	EC      	100.00      
18 	Ne     	10 	8  	0.0000  	0+            	5.3176              	4         	1.6670 S 17              	1.667                    	          	        	EC      	100.00      
19 	Ne     	10 	9  	0.0000  	1/2+          	1.75205             	16        	17.22 S 2                	17.22                    	          	        	EC      	100.00      
20 	Ne     	10 	10 	0.0000  	0+            	-7.0419305          	16        	STABLE                   	infinity                 	90.48%    	3       	        	            
21 	Ne     	10 	11 	0.0000  	3/2+          	-5.73178            	4         	STABLE                   	infinity                 	0.27%     	1       	        	            
22 	Ne     	10 	12 	0.0000  	0+            	-8.024719           	18        	STABLE                   	infinity                 	9.25%     	3       	        	            
23 	Ne     	10 	13 	0.0000  	5/2+          	-5.15405            	10        	37.24 S 12               	37.24                    	          	        	B-      	100.00      
24 	Ne     	10 	14 	0.0000  	0+            	-5.9516             	5         	3.38 M 2                 	202.8                    	          	        	B-      	100.00      
25 	Ne     	10 	15 	0.0000  	1/2+          	-2.04               	3         	602 MS 8                 	0.602                    	          	        	B-      	100.00      
26 	Ne     	10 	16 	0.0000  	0+            	0.481               	18        	197 MS 2                 	0.197                    	          	        	B-      	100.00      
26 	Ne     	10 	16 	0.0000  	0+            	0.481               	18        	197 MS 2                 	0.197                    	          	        	BN      	0.13        
