A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
92 	As     	33 	59 	0.0000  	              	-31.0               	5         	                         	                         	          	        	B-      	100.00      
64 	Se     	34 	30 	0.0000  	0+            	-26.7               	5         	180 NS GT                	1.8E-7                   	          	        	EC      	100.00      
65 	Se     	34 	31 	0.0000  	(3/2-)        	-33.0               	3         	33 MS 4                  	0.033                    	          	        	EC      	100.00      
65 	Se     	34 	31 	0.0000  	(3/2-)        	-33.0               	3         	33 MS 4                  	0.033                    	          	        	EP      	100.00      
66 	Se     	34 	32 	0.0000  	0+            	-41.66              	20        	42 MS 12                 	0.042                    	          	        	EC      	? 100.00    
67 	Se     	34 	33 	0.0000  	              	-46.58              	7         	136 MS 12                	0.136                    	          	        	EC      	100.00      
67 	Se     	34 	33 	0.0000  	              	-46.58              	7         	136 MS 12                	0.136                    	          	        	EP      	0.50        
68 	Se     	34 	34 	0.0000  	0+            	-54.1894            	5         	35.5 S 7                 	35.5                     	          	        	EC      	100.00      
69 	Se     	34 	35 	0.0000  	1/2-          	-56.4347            	15        	27.4 S 2                 	27.4                     	          	        	EP      	0.05        
69 	Se     	34 	35 	0.0000  	1/2-          	-56.4347            	15        	27.4 S 2                 	27.4                     	          	        	EC      	100.00      
70 	Se     	34 	36 	0.0000  	0+            	-61.9299            	16        	41.1 M 3                 	2466                     	          	        	EC      	100.00      
71 	Se     	34 	37 	0.0000  	(5/2-)        	-63.147             	3         	4.74 M 5                 	284.4                    	          	        	EC      	100.00      
72 	Se     	34 	38 	0.0000  	0+            	-67.8682            	20        	8.40 D 8                 	725760                   	          	        	EC      	100.00      
73 	Se     	34 	39 	0.0000  	9/2+          	-68.227             	7         	7.15 H 8                 	25740                    	          	        	EC      	100.00      
74 	Se     	34 	40 	0.0000  	0+            	-72.213201          	15        	STABLE                   	infinity                 	0.89%     	4       	        	            
75 	Se     	34 	41 	0.0000  	5/2+          	-72.16948           	7         	119.78 D 5               	1.0349E7                 	          	        	EC      	100.00      
76 	Se     	34 	42 	0.0000  	0+            	-75.251950          	16        	STABLE                   	infinity                 	9.37%     	29      	        	            
77 	Se     	34 	43 	0.0000  	1/2-          	-74.59949           	6         	STABLE                   	infinity                 	7.63%     	16      	        	            
78 	Se     	34 	44 	0.0000  	0+            	-77.02594           	18        	STABLE                   	infinity                 	23.77%    	28      	        	            
79 	Se     	34 	45 	0.0000  	7/2+          	-75.91746           	22        	3.26E+5 Y 28             	1.0288E13                	          	        	B-      	100.00      
80 	Se     	34 	46 	0.0000  	0+            	-77.7595            	10        	STABLE                   	infinity                 	49.61%    	41      	2B-     	            
81 	Se     	34 	47 	0.0000  	1/2-          	-76.3890            	10        	18.45 M 12               	1107                     	          	        	B-      	100.00      
82 	Se     	34 	48 	0.0000  	0+            	-77.5939            	5         	STABLE                   	infinity                 	8.73%     	22      	        	            
83 	Se     	34 	49 	0.0000  	9/2+          	-75.341             	3         	22.25 M 4                	1335                     	          	        	B-      	100.00      
84 	Se     	34 	50 	0.0000  	0+            	-75.9477            	20        	3.26 M 10                	195.6                    	          	        	B-      	100.00      
85 	Se     	34 	51 	0.0000  	(5/2)+        	-72.414             	3         	32.9 S 3                 	32.9                     	          	        	B-      	100.00      
86 	Se     	34 	52 	0.0000  	0+            	-70.503             	3         	14.3 S 3                 	14.3                     	          	        	B-      	100.00      
87 	Se     	34 	53 	0.0000  	(5/2+)        	-66.4261            	22        	5.50 S 14                	5.5                      	          	        	B-      	100.00      
87 	Se     	34 	53 	0.0000  	(5/2+)        	-66.4261            	22        	5.50 S 14                	5.5                      	          	        	BN      	0.36        
88 	Se     	34 	54 	0.0000  	0+            	-63.884             	3         	1.53 S 6                 	1.53                     	          	        	B-      	100.00      
88 	Se     	34 	54 	0.0000  	0+            	-63.884             	3         	1.53 S 6                 	1.53                     	          	        	BN      	0.99        
89 	Se     	34 	55 	0.0000  	(5/2+)        	-58.992             	4         	0.43 S 5                 	0.43                     	          	        	BN      	7.80        
89 	Se     	34 	55 	0.0000  	(5/2+)        	-58.992             	4         	0.43 S 5                 	0.43                     	          	        	B-      	100.00      
90 	Se     	34 	56 	0.0000  	0+            	-55.8               	3         	195 MS +95-65            	0.195                    	          	        	B-      	100.00      
90 	Se     	34 	56 	0.0000  	0+            	-55.8               	3         	195 MS +95-65            	0.195                    	          	        	BN      	            
91 	Se     	34 	57 	0.0000  	              	-50.6               	4         	0.27 S 5                 	0.27                     	          	        	BN      	21.00       
91 	Se     	34 	57 	0.0000  	              	-50.6               	4         	0.27 S 5                 	0.27                     	          	        	B-      	100.00      
92 	Se     	34 	58 	0.0000  	0+            	-46.7               	4         	                         	                         	          	        	B-      	100.00      
93 	Se     	34 	59 	0.0000  	(1/2+)        	-40.7               	4         	                         	                         	          	        	B-      	100.00      
94 	Se     	34 	60 	0.0000  	0+            	-36.8               	5         	150 NS GT                	1.5E-7                   	          	        	B-      	100.00      
